"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"uncultured_L_sp_Chicken_14_mag_2_00047","1020_g_43","1020_g_1463","105","741","0","160","100.0","17.758046614872363","inf","7.51509477443217e-09","0.00018791494483467642","1.694453966047578e-07"
"L_crispatus_MHKL_MAG_00248_01819","","","0","160","105","741","0.0","82.24195338512763","0.0","7.51509477443217e-09","0.00018791494483467642","1.694453966047578e-07"
"L_equicursoris_DSM_19284_00347","1020_g_44","1020_g_1464","105","743","0","158","100.0","17.53607103218646","inf","7.611182129309558e-09","0.0001903176091433855","1.7130297852689963e-07"
"L_crispatus_MHKL_MAG_00120_00201","","","0","158","105","743","0.0","82.46392896781354","0.0","7.611182129309558e-09","0.0001903176091433855","1.7130297852689963e-07"
"L_amylovorus_30SC_01297","","","88","500","17","401","83.80952380952381","44.50610432852386","4.151529411764706","7.664196478158873e-09","0.00019164323293636263","1.7234103681327574e-07"
"L_delbrueckii_ME-792_01171","1020_g_42","1020_g_1462","105","740","0","161","100.0","17.869034406215317","inf","7.779808804875733e-09","0.0001945341191659177","1.7478357517153432e-07"
"L_gallinarum_Chicken_14_mag_96_00385","1020_g_1280","1020_g_2015","79","413","26","488","75.23809523809524","54.16204217536071","3.59024026820637","7.80763589949306e-09","0.00019522993566682397","1.7525128874939315e-07"
"uncultured_L_sp_MGBC162746_01782","","","8","295","97","606","7.6190476190476195","67.25860155382908","0.16942163201118293","7.907705408426058e-09","0.00019773217373769358","1.7733827241048752e-07"
"L_johnsonii_117d_00346","","","8","294","97","607","7.6190476190476195","67.36958934517203","0.17027842064660917","7.981786156109732e-09","0.00019958456283352384","1.788392140085339e-07"
"L_acetotolerans_LA1_00086","1020_g_51","1020_g_1471","102","679","3","222","97.14285714285714","24.639289678135405","11.116347569955817","8.010359021354336e-09","0.00020029902732896518","1.7931873529898406e-07"
"L_sp_JM1_02071/11/0.1","","","32","81","73","820","30.476190476190478","91.00998890122086","4.437679688821241","8.364388383280388e-09","0.00020915153152392609","1.8707650404644552e-07"
"L_gallinarum_DSM_10532_01771/0.3","","","13","8","92","893","12.380952380952381","99.11209766925639","15.773097826086957","8.605042631169746e-09","0.0002151690909923995","1.916020400644697e-07"
"L_helveticus_IMAU30025_01058","","","13","8","92","893","12.380952380952381","99.11209766925639","15.773097826086957","8.605042631169746e-09","0.0002151690909923995","1.916020400644697e-07"
